"numero_economico","tipo_unidad","dependencia","tipo_movimiento","concepto","descripcion","taller_nombre","fecha_ingreso","tiempo_taller_dias","estatus","fecha_salida","observaciones"
"E-404","Patrulla esei e40x","Seguridad Pública","Correctivo","Balanceo de Celdas","Falla en controladores de motor","Taller Jac Integra","2025-01-04","463","En curso","",""
"E-247","Patrulla esei 4","Seguridad Pública","Correctivo","Reemplazo de Reductor","REDUCTOR, FALLA 4S","Taller interno","2025-12-22","111","En curso","",""
"E-4422","T8","Ayudantia","Correctivo","Falla en aislamiento","Reemplazo de modulos completos en paquete de bateria","Taller Jac","2026-01-19","83","En curso","",""
"E-179","Patrulla esei 4","Seguridad Pública","Correctivo","Falla en 4s","Para baja","Taller interno","2026-01-21","81","En curso","",""
"E-354","Patrulla T8","Seguridad Pública","Correctivo","Balanceo de Celdas","Perdida de potencia","Taller Jac","2026-01-29","73","En curso","",""
"E-278","Patrulla esei e40x","Seguridad Pública","Correctivo","Reemplazo de Reductor","Presenta falla en 4s","Taller interno","2026-02-03","68","En curso","",""
"E-322","Patrulla Mini Dolphin","Seguridad Pública","Correctivo","Suspensión y Frenos","","Taller ByD","2026-02-05","66","En curso","",""
"E-333","Patrulla Mini Dolphin","Seguridad Pública","Preventivo","Servicio Preventivo","SERVICO PREVENTIVO DE LOPS 45000 KM SUSPENSIÓN Y FRENOS","Taller ByD","2026-02-06","65","En curso","",""
"E-335","Patrulla Mini Dolphin","Seguridad Pública","Correctivo","Perdida de potencia","","Taller ByD","2026-02-07","64","En curso","",""
"E-325","Patrulla Mini Dolphin","Seguridad Pública","Correctivo","Suspensión y Frenos","","Taller ByD","2026-02-10","61","En curso","",""
"E-221","Patrulla esei 4","Seguridad Pública","Correctivo","VCU","BOTON DE DAÑADO Y PROGRAMACIÓN","Taller Jac","2026-02-16","55","En curso","",""
"E-209","Patrulla esei 4","Seguridad Pública","Correctivo","Falla Eléctrica","corto en cable de alto voltaje, PDU, VCU Y BOMBAS","Taller Jac","2026-02-17","54","En curso","",""
"E-439","Patrulla T8","Seguridad Pública","Correctivo","Suspensión y Reductor","no enciende","Taller Jac  ","2026-02-27","44","En curso","","en proceso de diagnostico"
"E-285","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","","Taller interno","2026-03-04","39","En curso","",""
"E-305","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","","Taller interno","2026-03-04","39","En curso","",""
"E-308","Patrulla esei 4","Seguridad Pública","Correctivo","Diagnostico","Se apago al 75 %","Taller Interno","2026-03-04","39","En curso","",""
"E-339","Patrulla EJ7","Seguridad Pública","Correctivo","Falla en 4S","Acumulador 12 voltios","Taller Jac","2026-03-13","30","En curso","",""
"4455","Shark","Bomberos","Preventivo","Servicio Preventivo","Revisar contaminación con agua el reductor","Taller ByD","2026-03-18","25","En curso","",""
"E-304","Patrulla esei 4","Seguridad Pública","Correctivo","Balanceo de Celdas","","Taller interno","2026-03-23","20","En curso","",""
"E-105","Patrulla esei 4","Seguridad Pública","Correctivo","Suspensión y Frenos","","Taller Isac Bejarano","2026-03-31","12","En curso","",""
"E-183","Patrulla esei 4","Seguridad Pública","Correctivo","Reemplazo de Reductor","","Taller Interno","2026-04-07","5","En curso","",""
"E-187","Patrulla esei 4","Seguridad Pública","Correctivo","Suspensión y Frenos","Posible garantia","Taller del Valle","2026-04-07","5","En curso","",""
"E-130","Patrulla esei 4","Seguridad Pública","Correctivo","Suspensión y Frenos","","Taller Dilop","2026-04-09","3","En curso","",""
"E-120","Patrulla esei 4","Seguridad Pública","Correctivo","Suspensión y Frenos","cremallera","Taller del Valle","2026-04-09","3","En curso","",""
"E-027","E10X","Tesoreria","Correctivo","Balanceo de Celdas","11 celdas con desbalanceo","Taller interno","2026-04-09","3","En curso","",""
